song_x,year_x,artist_x,genre_x,video_length,scene_count,frame_count,mot_int_mean,mot_int_std,lighting_met,light_mean,sat_met,sat_mean,col_en,colness,most_predominant_topic
miss-me-baby,2005,chris-cagle,Country,230,129,6925,0.195149997,0.109097884,555724.9015,126.5773967,1051176.159,123.9527963,,67.91367959,topic_4
chainsaw,2013,the-band-perry,Country,295,182,7094,0.173685564,0.086027997,134961.9047,70.00945342,-1691051.119,161.3714843,470.4687936,17.78423276,topic_10
this,2008,darius-rucker,Country,345,206,8304,0.168926484,0.085025472,-480747.8689,81.25610121,-787758.6046,157.9270443,366.5191161,23.93413051,topic_15
shut-up-and-drive,1997,chely-wright,Country,228,63,6860,0.18498563,0.114328327,-265524.0366,103.6251607,334966.8859,164.6678769,388.6005377,30.02190615,topic_7
the-late-great-golden-state,2013,dwight-yoakam,Country,286,163,8594,0.112956167,0.081907074,-253725.9912,67.55344897,-424478.9717,143.0036273,221.4054607,31.32522813,topic_28
crazy-girl,2011,eli-young-band,Country,243,88,7299,0.127436677,0.077874808,-905539.0593,57.55405241,-1580621.855,174.019947,485.1768864,12.99901114,topic_16
guys-like-me,2006,eric-church,Country,185,103,4462,0.159520054,0.079817972,-426441.7609,73.19997955,-703164.0273,130.4555725,207.2235515,29.97177522,topic_18
the-one-that-got-away,2013,the-civil-wars,Country,213,2,5113,0.080879278,0.086078734,-1545632.712,14.06412892,0,254.8451415,inf,0,topic_13
tomorrow,2011,chris-young,Country,221,52,5306,0.070255375,0.059815609,-539211.7931,54.39239527,-1334001.203,127.4687994,245.3523077,21.84219001,topic_4
history-in-the-making,2008,darius-rucker,Country,209,91,6273,0.193200022,0.117365279,-93816.01562,83.995651,-544597.6522,151.1322901,350.0494001,20.88767103,topic_4
home,2012,dierks-bentley,Country,242,76,5826,0.075480551,0.043040944,-808202.6165,62.35762626,-656511.5989,174.695867,253.5441364,12.58260174,topic_24
fast-as-you,1993,dwight-yoakam,Country,286,181,8596,0.152972564,0.071705135,-417681.0403,98.61498401,221209.6507,169.0570387,,52.46193027,topic_7
you-lie,2010,the-band-perry,Country,222,89,6665,0.111514736,0.10748711,-1106695.211,97.25127316,353906.6675,174.7664668,622.3284988,35.53788811,topic_10
am-i-the-only-one,2012,dierks-bentley,Country,198,144,5970,0.137537128,0.06081987,-596339.3796,87.95051323,-413559.2928,143.9980984,301.3595895,29.8556019,topic_7
it-was,1999,chely-wright,Country,227,121,5454,0.281238837,0.121642779,666880.654,89.75108258,-196031.2402,197.0477438,347.5350678,10.63954817,topic_7
robot-rock,2005,daft-punk,Electronic,196,82,4915,0.228358108,0.120685679,200479.5266,104.967969,285904.3715,138.9412499,317.6258161,49.4484061,topic_21
wrong,1996,everything-but-the-girl,Electronic,243,6,7318,0.105932595,0.055419818,101349.5268,63.56664188,-532339.7965,98.87728295,,39.21210709,topic_23
a-matter-of-time,2014,dillon,Electronic,215,1,5387,0.008004254,0.011396585,-267067,33.37454861,-1756038,231.0053863,228.9347637,7.801919472,topic_21
